Año,Ubicación,Cocaína (kg),Marihuana (kg),Sustancias Químicas Sólidas (kg),Sustancias Químicas Líquidas (L),Latitud,Longitud,País,Base de Coca (kg),Armas Incautadas,Laboratorios Destruidos,CASOS_x,HEROAINA_(KG),TOTAL_DROGAS_KG.,Intervenciones
2024,ANTIOQUIA,707999.965,,,,7.1986,-75.3412,Colombia,3402.51832,1023.0,,,,,
2019,ARAUCA,12602.556,,,,7.0731,-70.7591,Colombia,0.0,126.0,,,,,
2020,ARAUCA,7475.354,,,,7.0731,-70.7591,Colombia,0.0,88.0,,,,,
2021,ARAUCA,17403.428,,,,7.0731,-70.7591,Colombia,0.0,118.0,,,,,
2022,ARAUCA,13000.401,,,,7.0731,-70.7591,Colombia,3.8742,302.0,,,,,
2023,ARAUCA,24036.786,,,,7.0731,-70.7591,Colombia,1.1783,264.0,,,,,
2024,ARAUCA,9630.236,,,,7.0731,-70.7591,Colombia,37.71879999999999,39.0,,,,,
2019,ATLANTICO,547771.518,,,,10.6966,-74.8741,Colombia,0.0,4354.0,,,,,
2020,ATLANTICO,301335.682,,,,10.6966,-74.8741,Colombia,0.0,3348.0,,,,,
2021,ATLANTICO,407164.298,,,,10.6966,-74.8741,Colombia,0.0,5038.0,,,,,
2022,ATLANTICO,370352.705,,,,10.6966,-74.8741,Colombia,343.02488,4147.0,,,,,
2023,ATLANTICO,452220.866,,,,10.6966,-74.8741,Colombia,78.26625,7169.0,,,,,
2024,ATLANTICO,226316.793,,,,10.6966,-74.8741,Colombia,176.80581,1082.0,,,,,
2019,BOLIVAR,275826.442,,,,8.6704,-74.03,Colombia,0.0,1634.0,,,,,
2020,BOLIVAR,282500.06,,,,8.6704,-74.03,Colombia,0.0,1796.0,,,,,
2021,BOLIVAR,308608.944,,,,8.6704,-74.03,Colombia,0.0,1884.0,,,,,
2022,BOLIVAR,280249.678,,,,8.6704,-74.03,Colombia,5830.1038,1886.0,,,,,
2023,BOLIVAR,374335.665,,,,8.6704,-74.03,Colombia,7544.97295,3090.0,,,,,
2024,BOLIVAR,163410.333,,,,8.6704,-74.03,Colombia,1947.46267,454.0,,,,,
2019,BOYACA,93543.554,,,,5.4545,-73.362,Colombia,0.0,1388.0,,,,,
2020,BOYACA,112510.978,,,,5.4545,-73.362,Colombia,0.0,1290.0,,,,,
2021,BOYACA,74906.828,,,,5.4545,-73.362,Colombia,0.0,524.0,,,,,
2022,BOYACA,70395.007,,,,5.4545,-73.362,Colombia,219.017,404.0,,,,,
2023,BOYACA,104947.02,,,,5.4545,-73.362,Colombia,608.47741,639.0,,,,,
